1;Pichard;Henry;test@adresse.mail;testmdp;actif;07********;1;null;null;null;null
2;Blanchon;Hervé;test@adresse.mail;testmdp;actif;06********;1;null;null;null;null
3;Corset;Frank;test@adresse.mail;testmdp;actif;07********;0;null;null;null;null
4;Puzenat;Didier;test@adresse.mail;testmdp;actif;06********;0;null;null;null;null
5;Bluet;Alexandre;test@adresse.mail;testmdp;désactivé;07********;null;1;1;0.0;null
6;Lièvre;Thomas;test@adresse.mail;testmdp;désactivé;06********;null;1;1;0.0;null
7;Doyen;Matteo;test@adresse.mail;testmdp;désactivé;07********;null;1;1;0.0;null
8;Lehmann;Sylvia;test@adresse.mail;testmdp;désactivé;06********;null;1;0;0.0;null
9;Lecore;Matthieu;test@adresse.mail;testmdp;en_attente;07********;null;1;1;0.0;null
10;Chirac;Jacques;test@adresse.mail;testmdp;en_attente;06********;null;1;1;0.0;null
11;Sarkozy;Nicolas;test@adresse.mail;testmdp;en_attente;07********;null;1;1;0.0;null
12;Macron;Emmanuelle;test@adresse.mail;testmdp;en_attente;06********;null;0;0;0.0;null
13;Giscard;Etienne;test@adresse.mail;testmdp;supprimé;07********;null;0;0;0.0;null
14;De Gaulle;Charles;test@adresse.mail;testmdp;supprimé;06********;null;0;1;0.0;1
15;Cotty;Renée;test@adresse.mail;testmdp;supprimé;07********;null;0;0;0.0;2
16;Bosetti;Bosetti;test@adresse.mail;testmdp;supprimé;06********;null;0;1;0.0;3
17;Ta;Trompé;test@adresse.mail;testmdp;la_fonction;07********;null;0;0;0.0;4
